average_uptime,average_downtime,machine,e,ct,product
0 days 00:56:44.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:33.000000000,822
0 days 01:52:35.750000000,0 days 00:00:35.000000000,#110,0.99484593,0 days 00:00:23.000000000,819
0 days 00:56:48.875000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:32.000000000,822
0 days 02:31:35.666666666,0 days 00:00:00.000000000,#170,1,0 days 00:00:09.000000000,669
0 days 01:04:44.714285714,0 days 00:00:00.000000000,#100,1,0 days 00:00:14.000000000,822
0 days 00:56:45.250000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,828
0 days 00:56:32.750000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:38.000000000,414
0 days 01:04:43.000000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,825
0 days 00:56:47.500000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:38.000000000,414
0 days 00:45:43.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:16.000000000,821
