average_uptime,average_downtime,machine,e,ct,product
0 days 14:25:31.250000000,0 days 00:00:58.666666666,#130,0.998871576,0 days 00:00:09.000000000,8895
0 days 03:49:41.600000000,0 days 00:00:33.714285714,#110,0.997559644,0 days 00:00:13.000000000,8877
1 days 04:52:25.500000000,0 days 00:00:14.000000000,#150,0.999865332,0 days 00:00:32.000000000,8892
0 days 07:39:53.125000000,0 days 00:00:07.428571428,#170,0.999730854,0 days 00:00:09.000000000,7195
0 days 01:01:55.945454545,0 days 00:00:40.518518518,#100,0.989213654,0 days 00:00:14.000000000,8869
0 days 01:36:55.828571428,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,8863
0 days 19:27:28.666666666,0 days 00:00:22.000000000,#120,0.999686031,0 days 00:00:33.000000000,4461
0 days 01:40:55.382352941,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,8867
0 days 01:39:26.942857142,0 days 00:00:00.000000000,#140,1,0 days 00:00:36.000000000,4468
0 days 01:33:23.675675675,0 days 00:00:00.000000000,#160,1,0 days 00:00:16.000000000,8895
