average_uptime,average_downtime,machine,e,ct,product
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:17.000000000,122
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,123
0 days 00:25:09.000000000,0 days 00:00:01.000000000,#170,0.999337748,0 days 00:00:12.000000000,98
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:08.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:23.000000000,61
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,121
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:40.000000000,61
0 days 00:50:19.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:11.000000000,124
