average_uptime,average_downtime,machine,e,ct,product
0 days 01:20:36.411764705,0 days 00:00:00.000000000,#130,1,0 days 00:00:14.000000000,6865
0 days 04:06:47.090909090,0 days 00:00:32.100000000,#110,0.997836809,0 days 00:00:16.000000000,6820
0 days 15:17:27.666666666,0 days 00:00:03.000000000,#150,0.999945505,0 days 00:00:30.000000000,6881
0 days 12:26:17.600000000,0 days 00:00:03.250000000,#170,0.999927424,0 days 00:00:09.000000000,5526
0 days 09:05:42.400000000,0 days 00:00:27.000000000,#100,0.999176061,0 days 00:00:14.000000000,6806
0 days 01:24:52.656250000,0 days 00:00:00.000000000,#80,1,0 days 00:00:10.000000000,6804
0 days 01:23:26.030303030,0 days 00:00:00.000000000,#120,1,0 days 00:00:21.000000000,3442
0 days 01:24:41.937500000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,6804
0 days 01:20:54.147058823,0 days 00:00:00.000000000,#140,1,0 days 00:00:31.000000000,3458
0 days 01:23:07.257142857,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,6889
