average_uptime,average_downtime,machine,e,ct,product
0 days 00:22:53.500000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:18.000000000,116
0 days 00:22:35.000000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:14.000000000,111
0 days 00:23:15.500000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,118
0 days 00:24:19.000000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:11.000000000,93
0 days 00:22:17.500000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:14.000000000,107
0 days 00:21:47.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:10.000000000,100
0 days 00:22:55.000000000,0 days 00:00:06.000000000,#120,0.995655322,0 days 00:00:27.000000000,60
0 days 00:22:03.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,103
0 days 00:23:10.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:36.000000000,60
0 days 00:23:23.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,120
