average_uptime,average_downtime,machine,e,ct,product
0 days 00:20:16.500000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:34.000000000,192
0 days 00:20:05.750000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:14.000000000,191
0 days 00:20:22.250000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:33.000000000,193
0 days 00:22:20.750000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:10.000000000,170
0 days 00:40:00.000000000,0 days 00:00:05.000000000,#100,0.997920998,0 days 00:00:16.000000000,191
0 days 00:19:50.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:08.000000000,194
0 days 00:20:11.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:42.000000000,98
0 days 00:19:55.500000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:05.000000000,192
0 days 00:20:20.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:40.000000000,97
0 days 00:20:19.750000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:16.000000000,192
