average_uptime,average_downtime,machine,e,ct,product
1 days 05:20:35.000000000,0 days 00:00:18.000000000,#130,0.999829631,0 days 00:00:18.000000000,9301
0 days 04:32:47.923076923,0 days 00:00:26.083333333,#110,0.998408971,0 days 00:00:13.000000000,9272
1 days 05:18:57.000000000,0 days 00:00:26.000000000,#150,0.999753702,0 days 00:00:30.000000000,9309
0 days 04:55:36.692307692,0 days 00:00:02.250000000,#170,0.99987316,0 days 00:00:09.000000000,7604
0 days 05:26:08.000000000,0 days 00:00:38.000000000,#100,0.998061818,0 days 00:00:14.000000000,9259
1 days 05:22:48.000000000,0 days 00:00:07.000000000,#80,0.999933822,0 days 00:00:07.000000000,9245
0 days 01:31:08.666666666,0 days 00:00:00.000000000,#120,1,0 days 00:00:31.000000000,4666
0 days 01:28:25.075000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:16.000000000,9251
1 days 05:59:57.000000000,0 days 00:00:21.000000000,#140,0.999805588,0 days 00:00:33.000000000,4673
0 days 01:27:15.414634146,0 days 00:00:00.000000000,#160,1,0 days 00:00:16.000000000,9313
