average_uptime,average_downtime,machine,e,ct,product
0 days 00:47:03.500000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:16.000000000,244
0 days 00:45:55.000000000,0 days 00:01:00.000000000,#110,0.978685613,0 days 00:00:16.000000000,239
0 days 00:47:20.500000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,245
0 days 05:13:54.000000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:09.000000000,208
0 days 00:45:54.500000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:17.000000000,238
0 days 00:44:55.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:16.000000000,236
0 days 00:46:54.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:39.000000000,122
0 days 00:30:10.666666666,0 days 00:00:03.500000000,#90,0.99807074,0 days 00:00:16.000000000,237
0 days 00:47:16.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:40.000000000,123
0 days 00:47:09.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,245
