average_uptime,average_downtime,machine,e,ct,product
0 days 01:53:31.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:33.000000000,3794
0 days 04:24:04.166666666,0 days 00:00:29.800000000,#110,0.998122712,0 days 00:00:15.000000000,3790
0 days 02:18:41.000000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:33.000000000,3789
0 days 07:29:50.750000000,0 days 00:00:03.000000000,#170,0.999888863,0 days 00:00:11.000000000,3153
0 days 05:17:56.400000000,0 days 00:00:08.250000000,#100,0.999567715,0 days 00:00:16.000000000,3789
0 days 01:52:52.285714285,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,3791
0 days 01:53:25.285714285,0 days 00:00:00.000000000,#120,1,0 days 00:00:41.000000000,1901
0 days 13:11:36.000000000,0 days 00:00:15.000000000,#90,0.999684284,0 days 00:00:16.000000000,3794
0 days 02:18:48.615384615,0 days 00:00:00.000000000,#140,1,0 days 00:00:31.000000000,1902
0 days 02:26:24.769230769,0 days 00:00:00.000000000,#160,1,0 days 00:00:11.000000000,3788
