average_uptime,average_downtime,machine,e,ct,product
0 days 01:57:14.000000000,0 days 00:00:00.000000000,#130,1,0 days 00:00:18.000000000,320
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#110,1,0 days 00:00:15.000000000,318
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,321
0 days 02:15:37.000000000,0 days 00:00:00.000000000,#170,1,0 days 00:00:11.000000000,244
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#100,1,0 days 00:00:15.000000000,316
0 days 01:57:07.000000000,0 days 00:00:00.000000000,#80,1,0 days 00:00:07.000000000,313
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#120,1,0 days 00:00:27.000000000,159
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,314
0 days 02:03:50.000000000,0 days 00:00:00.000000000,#140,1,0 days 00:00:34.000000000,161
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#160,1,0 days 00:00:12.000000000,322
